Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20230331;2023;03;31;2.02.02.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.01;Débitos com Coligadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.02;Débitos com Controladas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.03;Débitos com Controladores;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02;Outros;2.000;3.000;Mil
007617;20230331;2023;03;31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.03;Outros Passivos;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.04;Passivos de Arrendamentos;1.000;2.000;Mil
007617;20230331;2023;03;31;2.02.02.02.05;Outros tributos a recolher;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.06;Fornecedores;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.07;Outros tributos diferidos;1.000;1.000;Mil
007617;20230331;2023;03;31;2.02.03;Tributos Diferidos;0;0;Mil
007617;20230331;2023;03;31;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;0;0;Mil
007617;20230331;2023;03;31;2.02.04;Provisões;13.000;12.000;Mil
007617;20230331;2023;03;31;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;13.000;12.000;Mil
007617;20230331;2023;03;31;2.02.04.01.01;Provisões Fiscais;13.000;12.000;Mil
007617;20230331;2023;03;31;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20230331;2023;03;31;2.02.04.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20230331;2023;03;31;2.02.04.01.04;Provisões Cíveis;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02;Outras Provisões;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.01;Provisões para Garantias;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.02;Provisões para Reestruturação;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20230331;2023;03;31;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20230331;2023;03;31;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230331;2023;03;31;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230331;2023;03;31;2.02.06;Lucros e Receitas a Apropriar;0;0;Mil
007617;20230331;2023;03;31;2.02.06.01;Lucros a Apropriar;0;0;Mil
